# FuelCalculationMethod = MassAirFlow
Time, Latitude (deg), Longitude (deg), Vehicle speed (MPH), Accel X (g), Accel Y (g), Accel Z (g), Engine RPM (RPM), Actual engine - percent torque (%), Instant fuel economy (MPG), Total fuel economy (MPG), Fuel rate (gal/hr), Rotation Rate X (deg/s), Rotation Rate Y (deg/s), Rotation Rate Z (deg/s), Roll (deg), Pitch (deg), Engine coolant temperature (C), Intake manifold absolute pressure (psi), Intake air temperature (C), Mass air flow rate (lb/min), Time since engine start (sec), Engine oil temperature (C), Engine fuel rate (gal/hr), Driver's demand engine - percent torque (%), Engine reference torque (lb•ft), Boost (psi), Acceleration (g), Acceleration (Avg) (g), Engine Power (hp), Engine Torque (lb•ft), A/F Commanded, A/F Actual, Fuel Remaining (gal), GPS Speed (MPH), Accel (Grav) X (g), Accel (Grav) Y (g), Accel (Grav) Z (g), Distance traveled while MIL is activated (miles), Total engine run time (sec), Total idle run time (sec), Altitude (ft)
02/23/2017 08:31:14.1085 AM,33.77746,-84.37078,0,-0.004974124,-0.00259243,0.0004756703,798,0,0,23.47589,0.8901397,0.05354309,-1.46048,0.4336548,-2.19482,-23.22897,32,9.717528,15,1.340199,54,0,0,0,0,-4.49617,0,0,12.2048,62.48543,14.63514,15.2174,7.411765,2.371152,0.04391479,-0.914505,-0.3884125,0,0,0,907.5513
02/23/2017 08:31:15.1167 AM,33.77748,-84.37079,0,-0.005009639,-0.008216711,0.02733658,766,0,0,23.46205,0.8710205,0.3001862,-1.279373,0.1893768,-2.312407,-23.94648,32,9.282415,15,1.311093,54,0,0,0,0,-4.931283,0,0,11.94266,83.68279,14.63514,14.57754,7.411765,3.422513,0.04321289,-0.9020844,-0.4292145,0,0,0,908.9604
02/23/2017 08:31:16.0986 AM,33.7775,-84.3708,1.242742,-0.01351453,0.01063229,-0.05106641,767,0,0,23.46205,0.8710205,0.8501587,-1.463806,0.2520142,-2.323643,-22.71476,32,9.282415,15,1.311093,54,0,0,0,0,-4.931283,0.02150322,0.004300643,11.94266,81.77861,14.63514,14.57754,7.411765,1.521117,0.05529785,-0.9268494,-0.3402252,0,0,0,910.2352
02/23/2017 08:31:17.0980 AM,33.7775,-84.3708,1.242742,-0.01108511,-0.0125617,0.001419846,760.5,0,1.411103,23.44142,0.8806887,-0.003890991,-1.035446,-0.05601501,-2.71382,-21.40837,32,9.137378,15,1.325646,54,0,0,0,0,-5.076321,0.02150322,0.004300643,12.07522,83.39307,14.63514,14.57754,7.411765,1.342162,0.05583191,-0.9113312,-0.3725739,0,0,0,909.4422
02/23/2017 08:31:18.0936 AM,33.77751,-84.3708,1.242742,-0.01570443,-0.01272,0.009763637,772.5,0,1.46825,23.42264,0.8464105,-0.005386353,-1.278671,0.06703186,-3.030999,-23.07572,32,8.702264,15,1.274049,54,0,0,0,0,-5.511434,0.02150322,0.004300643,11.60523,78.90222,14.63514,14.4668,7.411765,1.252684,0.06248474,-0.9044495,-0.394455,0,0,0,910.4094
02/23/2017 08:31:19.1118 AM,33.77751,-84.37081,1.864114,-0.009853284,-0.007696485,0.01339048,758.5,0,2.328087,23.40649,0.800706,0.2904816,-1.883224,1.898697,-3.066798,-23.12212,32,8.702264,15,1.205253,54,0,0,0,0,-5.511434,0.01138083,0.00657681,10.97857,76.01936,14.63157,14.34535,7.411765,1.632964,0.06260681,-0.9073029,-0.401947,0,0,0,910.58
02/23/2017 08:31:20.1114 AM,33.77752,-84.37082,1.864114,0.008851503,-0.01601402,-0.02483808,758.5,0,2.328087,23.40649,0.800706,0.1187134,-0.6695709,0.2471466,-1.962184,-22.39174,32,8.412189,15,1.205253,54,0,0,0,0,-5.801509,0.01138083,0.00657681,10.97857,76.01936,14.63157,14.34892,7.411765,2.080351,0.03295898,-0.8998718,-0.3594818,0,0,0,909.4225
02/23/2017 08:31:21.0948 AM,33.77753,-84.37083,1.864114,0.00494589,-0.003523048,0.02084783,755,0,2.314814,23.38676,0.8052973,0.1065979,-2.004562,1.838058,-2.40632,-21.32919,32,8.412189,15,1.211868,54,0,0,0,0,-5.801509,0.01138083,0.00657681,11.04152,76.80968,14.63871,14.34892,7.411765,1.76718,0.04078674,-0.9193726,-0.3901215,0,0,0,909.0539
02/23/2017 08:31:22.0852 AM,33.77754,-84.37083,1.864114,-0.02993841,-0.003393028,0.02836346,755,0,2.314814,23.38676,0.8052973,-0.3188477,-1.883102,1.227402,-2.199005,-21.88638,32,8.412189,15,1.211868,54,0,0,0,0,-5.801509,0.01138083,0.00657681,11.04152,76.80968,14.63871,14.61326,7.411765,2.035612,0.06983948,-0.9191437,-0.3982697,0,0,0,908.988
02/23/2017 08:31:23.0948 AM,33.77755,-84.37084,1.864114,-0.006065534,0.009220429,0.02142164,747,0,2.372936,23.36144,0.7855725,-0.3190918,-2.982193,0.2575226,-2.184533,-21.98551,32,8.412189,15,1.182762,54,0,0,0,0,-5.801509,0,0.00657681,10.77107,75.73077,14.63514,14.61326,7.411765,1.722441,0.04275513,-0.9323273,-0.3885193,0,0,0,907.3726
02/23/2017 08:31:24.1322 AM,33.77755,-84.37086,1.864114,-0.01163135,0.01175972,0.01368949,747,0,2.372936,23.36144,0.7855725,-0.4306335,-2.989456,-2.302292,-1.75153,-21.94508,32,8.412189,15,1.182762,54,0,0,0,0,-5.801509,0,0.00657681,10.77107,75.73077,14.63514,14.59183,7.411765,2.10272,0.04446411,-0.9360962,-0.382431,0,0,0,907.6609
02/23/2017 08:31:25.1163 AM,33.77756,-84.37086,1.864114,0.01222309,-0.03017303,0.02257189,747,0,2.380345,23.33429,0.7831274,-2.797653,-7.105362,3.381699,-1.523987,-22.95329,32,8.412189,15,1.178793,54,0,0,0,0,-5.801509,0,0.00657681,10.73755,75.73077,14.63514,14.59183,7.411765,2.013243,0.02401733,-0.88974,-0.4029083,0,0,0,906.8766
02/23/2017 08:31:26.1090 AM,33.77757,-84.37087,1.864114,-0.01394236,0.004887033,-0.002028546,764.5,0,2.401911,23.31226,0.776096,0.5952148,-6.830017,-2.404358,-2.056835,-21.65742,32,8.412189,15,1.168209,54,0,0,0,0,-5.801509,0,0.00657681,10.64114,73.76692,14.63514,14.61326,7.411765,2.057981,0.04594421,-0.9299011,-0.3665466,0,0,0,905.8089
02/23/2017 08:31:27.1155 AM,33.77757,-84.37087,1.864114,0.01023742,-0.0126402,0.01710745,764.5,0,2.401911,23.31226,0.776096,0.9542999,-9.20723,-2.69722,-2.453148,-22.97112,32,8.412189,15,1.168209,54,0,0,0,0,-5.801509,0,0.00657681,10.64114,73.76692,14.63871,14.61326,7.411765,1.610594,0.02410889,-0.9033508,-0.4020081,0,0,0,905.9963
02/23/2017 08:31:28.1016 AM,33.77758,-84.37088,1.864114,-0.02039282,0.01047166,0.003050014,824,0,2.401911,23.31226,0.776096,-0.1494141,-10.36246,-3.363739,-2.379574,-24.04503,32,8.557226,15,1.168209,72,0,0,0,0,-5.656472,0,0.00657681,10.64114,67.82581,14.63871,14.48466,7.411765,1.454009,0.05982971,-0.9204407,-0.4039001,0,0,0,905.3391
02/23/2017 08:31:29.0978 AM,33.77758,-84.37089,1.864114,0.01792437,-0.003829405,0.01180006,818.5,0,2.182516,23.27698,0.8541123,-0.3826141,-7.255264,-3.19606,-3.261439,-23.86294,32,8.267151,15,1.285956,72,0,0,0,0,-5.946547,0,0.00657681,11.71083,75.14551,14.63514,14.48466,7.411765,1.588225,0.02848816,-0.9088135,-0.4077301,0,0,0,904.8729
02/23/2017 08:31:30.1164 AM,33.77759,-84.3709,1.242742,-0.02237788,0.009518167,-0.01470244,818.5,0,1.502577,23.26173,0.827074,0.4650116,-8.961563,-2.577225,-3.01691,-25.10844,32,8.267151,15,1.244943,72,0,0,0,0,-5.946547,-0.01394941,0.003786927,11.3401,75.14551,14.63871,14.48466,7.411765,1.521117,0.07385254,-0.9152374,-0.3984375,0,0,0,904.9066
02/23/2017 08:31:32.1088 AM,33.77758,-84.3709,1.242742,-0.01027527,0.006663538,-0.01095135,770,0,1.562729,23.2419,0.7952384,-0.3170929,-4.754639,-1.867096,-2.419701,-23.12455,32,8.557226,15,1.197315,72,0,0,0,0,-5.656472,-0.01394941,0.003786927,10.9036,74.37266,14.63871,14.68828,7.411765,0.4473873,0.06355286,-0.9196777,-0.3798828,0,0,0,902.9862
02/23/2017 08:31:33.0872 AM,33.77758,-84.3709,0.6213712,0.01514394,-0.001289989,-0.003346568,723,0,0.8665871,23.22407,0.7170326,0.1135406,-1.765182,0.4351959,-2.525522,-22.51113,32,8.557226,15,1.079568,72,0,0,0,0,-5.656472,-0.01039944,-0.002593604,9.831313,71.41794,14.63514,14.78517,7.411765,0.492126,0.02720642,-0.9136353,-0.3870697,0,0,0,903.5165
02/23/2017 08:31:34.0995 AM,33.77758,-84.3709,0,0.006163467,0.001967133,-0.01666316,723,0,0,23.2084,0.6855661,-0.4384155,-1.94577,0.4961853,-1.320641,-22.41412,32,8.122113,15,1.03194,72,0,0,0,0,-6.091585,-0.02243372,-0.00500046,9.399873,71.41794,14.63514,14.15602,7.411765,0.8052971,0.019104,-0.9205627,-0.3657837,0,0,0,903.6262
02/23/2017 08:31:35.0997 AM,33.77758,-84.3709,0.6213712,0.02732707,0.007979761,-0.009098503,688.5,0,0.8210947,23.19407,0.7567595,0.2198944,-7.983414,-1.607132,0.06619801,-20.61737,32,8.847302,15,1.139103,72,0,0,0,0,-5.366396,-0.001103378,-0.005090446,10.37601,71.70544,14.63514,15.1281,7.411765,0.5144954,-0.02314758,-0.9361877,-0.3501587,0,0,0,903.8369
02/23/2017 08:31:36.1219 AM,33.77758,-84.3709,2.485485,0.02868671,0.003619228,0.01365908,684.5,0,0.8210947,23.19407,0.7567595,0.8835907,-13.78058,-4.74765,1.417702,-21.15179,32,8.847302,15,1.139103,72,0,0,0,0,-5.366396,0.04705754,0.002134881,10.37601,79.61431,14.63514,15.07809,7.411765,0.8052971,-0.04740906,-0.930191,-0.37677,0,0,0,904.9741
02/23/2017 08:31:37.1210 AM,33.77757,-84.3709,2.485485,0.0215106,0.008737748,0.02147109,691.5,0,3.857913,23.18137,0.6442564,-1.308914,-13.53662,-7.18985,2.306524,-21.9564,32,8.267151,15,0.969759,72,0,0,0,0,-5.946547,0.04705754,0.002134881,8.83347,67.09238,14.63871,14.77445,7.411765,1.722441,-0.05825806,-0.930481,-0.3945007,0,0,0,904.6134
02/23/2017 08:31:38.1109 AM,33.77757,-84.37092,3.106856,-0.03255621,0.005309159,-0.04706097,739.5,0,4.633913,23.17178,0.6704606,0.8296967,-8.838852,-1.845932,1.034837,-21.15119,32,8.122113,15,1.009449,72,0,0,0,0,-6.091585,0.04879779,0.004669111,9.19276,65.28927,14.63871,14.77445,7.411765,1.498747,0.01205444,-0.9298248,-0.3222504,0,0,0,903.4013
02/23/2017 08:31:39.0959 AM,33.77757,-84.37093,3.728227,0.001718196,0.02894012,0.06550618,937.5,0,4.405826,23.15504,0.8462039,0.7861481,-0.6677094,1.649857,0.6839377,-21.61015,32,8.122113,15,1.274049,72,0,0,0,0,-6.091585,0.02403025,0.006940931,11.6024,64.99957,14.63514,14.64541,7.411765,3.333035,-0.009170532,-0.9573822,-0.4360504,0,0,0,902.0963
02/23/2017 08:31:40.0902 AM,33.77757,-84.37095,4.349598,-0.07781586,-0.02998305,-0.003808848,937.5,0,5.008844,23.14108,0.8683837,2.039185,9.140076,4.103699,-1.447925,-20.49813,32,7.687,15,1.307124,72,0,0,0,0,-6.526698,0.0228812,0.009245352,11.90651,64.99957,14.63514,14.52753,7.411765,3.758053,0.09960938,-0.8928375,-0.3652954,0,0,0,899.9005
02/23/2017 08:31:41.1011 AM,33.77756,-84.37097,4.349598,-0.0943494,-0.01212351,0.0102168,1080.5,0,5.008844,23.14108,0.8683837,3.141754,17.99095,12.22975,-2.657817,-19.78251,37,7.106849,15,1.307124,84,0,0,0,0,-7.106849,0.0228812,0.009245352,11.90651,57.87535,14.63514,14.52753,7.411765,4.183071,0.1582947,-0.9113007,-0.3832092,0,0,0,900.6357
02/23/2017 08:31:42.1221 AM,33.77755,-84.37099,6.213712,0.03027436,0.05408356,0.004184414,1080.5,0,6.5948,23.11588,0.9422139,0.3730927,14.22398,11.93889,-3.18976,-20.64935,37,7.106849,15,1.418256,84,0,0,0,0,-7.106849,0.0323326,0.01340745,12.9188,57.87535,14.63871,14.2489,7.411765,3.780422,0.03059387,-0.9788818,-0.3835754,0,0,0,902.3306
02/23/2017 08:31:43.1092 AM,33.77754,-84.371,6.835083,0.05109236,-0.02858483,-0.05774691,1298,0,6.5948,23.11588,0.9422139,-1.053864,-1.330627,1.83313,-0.7890174,-20.89629,37,5.946547,15,1.418256,84,0,0,0,0,-8.267151,0.03195446,0.01842613,12.9188,52.27349,14.63871,14.96378,7.411765,4.362026,-0.05189514,-0.9026337,-0.2975159,0,0,0,901.5783
02/23/2017 08:31:44.1116 AM,33.77752,-84.37102,6.835083,0.01549809,0.04084404,0.04323547,1447.5,0,7.129684,23.10147,0.9586796,0.7118378,-4.322464,1.301498,0.2475969,-22.37357,37,5.511434,15,1.443393,84,0,0,0,0,-8.702264,0.03195446,0.01842613,13.14456,47.69377,14.63871,14.76374,7.411765,6.263422,-0.02903748,-0.9634705,-0.4157257,0,0,0,900.5632
02/23/2017 08:31:45.0862 AM,33.77749,-84.37103,7.456454,0.00519814,0.001609967,0.01237848,1556.5,0,8.511154,23.08977,0.8760803,-0.3816986,-2.614578,0.9260712,0.5273453,-23.9268,37,4.931283,15,1.319031,84,0,0,0,0,-9.282415,0.02243564,0.02068446,12.01203,40.53232,14.64586,14.76374,7.411765,6.106836,-0.0219574,-0.9105835,-0.4104614,0,0,0,900.8228
02/23/2017 08:31:46.1118 AM,33.77747,-84.37104,7.456454,-0.01337102,0.005941443,-0.009765346,1004.5,0,13.12173,23.08569,0.5682522,1.834137,-1.775742,-1.085831,0.8635302,-23.34651,37,5.511434,15,0.855981,84,0,0,0,0,-8.702264,0.01129168,0.02276435,7.791369,40.73783,14.64228,14.53467,7.411765,6.017359,-0.007675171,-0.9141693,-0.3826752,0,0,0,899.8293
02/23/2017 08:31:47.0898 AM,33.77744,-84.37105,8.077826,-0.05456666,-0.04135451,0.051604,1004.5,0,14.712,23.07991,0.5490638,0.6127167,-0.06358337,-0.1816254,1.087427,-24.38069,37,5.511434,15,0.826875,84,0,0,0,0,-8.702264,0.01187019,0.02754524,7.528275,40.73783,14.64586,15.77153,7.411765,6.062098,0.04110718,-0.8695679,-0.4564362,0,0,0,900.2787
02/23/2017 08:31:48.0851 AM,33.77742,-84.37106,8.699197,-0.06147386,-0.05016271,-0.05683614,1109,0,15.19129,23.0765,0.5726436,-3.10675,2.809265,-0.993103,-0.153138,-23.29565,37,4.786245,15,0.862596,84,0,0,0,0,-9.427453,0.02265766,0.02751656,7.851581,35.65316,14.64586,14.75659,7.411765,7.113458,0.05422974,-0.8662262,-0.3522034,0,0,0,901.0543
02/23/2017 08:31:49.1064 AM,33.77739,-84.37106,9.320568,0.02007426,-0.09644176,-0.06777446,1179,0,15.19129,23.0765,0.5726436,1.345596,-0.3702698,-0.05718994,-1.145401,-24.7754,37,4.49617,15,0.862596,84,0,0,0,0,-9.717528,0.02247174,0.02262808,7.851581,34.97658,14.64228,15.03165,7.411765,8.120079,-0.01783752,-0.8075562,-0.3503876,0,0,0,900.1942
02/23/2017 08:31:50.1101 AM,33.77736,-84.37108,9.320568,0.08719204,0.004888761,0.001480565,1204.5,0,17.45002,23.0735,0.5341293,-1.899414,0.3742065,0.7267456,-1.677693,-25.47281,37,4.351132,15,0.804384,84,0,0,0,0,-9.862566,0.02247174,0.02262808,7.323505,31.93348,14.64586,15.03165,7.411765,6.509485,-0.06813049,-0.9054871,-0.4295197,0,0,0,899.8005
02/23/2017 08:31:51.0802 AM,33.77733,-84.37109,9.320568,0.03482361,-0.06267434,-0.0414491,1183,0,20.89016,23.07178,0.4461702,-3.478134,0.4316864,-2.262161,-0.4099216,-24.58604,37,4.351132,15,0.672084,84,0,0,0,0,-9.862566,0.01168427,0.02009385,6.117489,27.15955,14.653,15.1281,7.411765,6.576593,-0.02516174,-0.8297882,-0.3898468,0,0,0,899.1347
02/23/2017 08:31:52.0937 AM,33.77731,-84.37111,8.077826,-0.04385118,0.001492849,0.05193491,1183,0,19.96037,23.0713,0.4046932,-8.047089,2.08078,-5.994415,-2.553927,-26.86131,37,3.770981,15,0.609903,84,0,0,0,0,-10.44272,-0.01941531,0.01393897,5.548794,27.15955,14.653,15.0888,7.411765,6.822656,0.05473328,-0.8673096,-0.4880371,0,0,0,898.7922
02/23/2017 08:31:53.1008 AM,33.77728,-84.37112,7.456454,-0.075989,-0.07129056,-0.08135717,1025.5,0,19.96037,23.0713,0.4046932,-3.56575,-1.870132,1.771042,-3.076049,-26.73689,37,4.061057,15,0.609903,84,0,0,0,0,-10.15264,-0.03138708,0.009240196,5.548794,28.41823,14.653,15.17811,7.411765,5.771296,0.1109772,-0.8044128,-0.3857574,0,0,0,898.0694
02/23/2017 08:31:54.0932 AM,33.77726,-84.37112,7.456454,3.437317E-05,-0.07459497,0.02449148,867,0,16.02623,23.0684,0.4652656,0.1343384,1.151505,-1.711746,-1.770267,-30.29017,37,6.091585,15,0.70119,98,0,0,0,0,-8.122113,-0.03138708,0.009240196,6.379308,38.64457,14.653,15.17811,7.411765,6.106836,0.025177,-0.774826,-0.5421906,0,0,0,897.4116
02/23/2017 08:31:55.0797 AM,33.77723,-84.37112,3.106856,-0.01548919,0.009885849,-0.05307774,867,0,5.24315,23.05526,0.5925552,-1.413727,0.00894165,1.338654,-1.677624,-30.42322,37,6.091585,15,0.893025,98,0,0,0,0,-8.122113,-0.07486319,-0.007500187,8.12459,38.64457,14.64586,14.95306,7.411765,3.333035,0.04380798,-0.861557,-0.4639587,0,0,0,896.4722
02/23/2017 08:31:56.2443 AM,33.77722,-84.37112,1.864114,-0.01730868,-0.04402697,-0.04690346,659,0,5.24315,23.05526,0.5925552,-6.311447,0.0262146,1.392273,-2.909095,-28.35537,37,8.412189,15,0.893025,98,0,0,0,0,-5.801509,-0.08137161,-0.01342502,8.12459,64.75154,14.64586,14.71685,7.411765,2.147459,0.06181335,-0.8261414,-0.4083557,0,0,0,896.6382
02/23/2017 08:31:57.1195 AM,33.77721,-84.37112,1.864114,0.008218996,-0.0004443931,0.04689792,692,0,2.939668,23.03942,0.6341237,-0.4449463,-1.75795,2.201736,-2.764562,-31.19503,37,7.977076,15,0.955206,98,0,0,0,0,-6.236623,-0.08137161,-0.01342502,8.694542,65.98947,14.63871,14.71685,7.411765,2.550107,0.03297424,-0.8589935,-0.5524902,0,0,0,896.1548
02/23/2017 08:31:58.1057 AM,33.7772,-84.37112,1.242742,-0.0136681,0.03284599,-0.06915256,692,0,1.813167,23.02245,0.6853988,0.05197144,-2.436493,-0.110199,-1.855802,-31.84676,37,7.977076,15,1.03194,98,0,0,0,0,-6.236623,-0.02796202,-0.01757972,9.397579,65.98947,14.63871,14.82804,7.411765,0.8500358,0.05059814,-0.8851318,-0.4475708,0,0,0,895.5833
02/23/2017 08:31:59.1254 AM,33.77719,-84.37112,2.485485,0.03352615,-0.05726059,-0.1026105,760,0,3.597774,23.012,0.6908397,11.34515,-10.63669,-0.1763,-2.582239,-24.67882,37,7.832038,15,1.039878,98,0,0,0,0,-6.38166,0.01303144,-0.01307707,9.472179,64.94362,14.63514,14.2239,7.411765,1.431639,0.002151489,-0.8276367,-0.3568726,0,0,0,894.7333
02/23/2017 08:32:00.1325 AM,33.77718,-84.37113,3.728227,0.02139402,0.0208335,-0.06650452,733.5,0,3.597774,23.012,0.6908397,4.41333,-21.41197,-6.961014,-1.494332,-20.26722,37,7.977076,15,1.039878,98,0,0,0,0,-6.236623,0.04960214,-0.01003333,9.472179,67.82407,14.63514,14.81732,7.411765,2.930386,-0.01980591,-0.9274292,-0.3435059,0,0,0,896.1308
02/23/2017 08:32:01.1174 AM,33.77716,-84.37113,3.728227,0.03712067,-0.01036616,-0.05783264,951,0,5.16031,23.00139,0.7224812,-1.668533,-25.58966,-5.914032,-1.105017,-19.83361,37,7.541962,15,1.087506,98,0,0,0,0,-6.671736,0.04960214,-0.01003333,9.90602,54.70824,14.63871,14.55611,7.411765,3.064603,-0.04989624,-0.9206238,-0.3076477,0,0,0,895.196
02/23/2017 08:32:02.1232 AM,33.77715,-84.37114,5.592341,0.02517171,0.007974067,-0.03127505,1576.5,0,4.906874,22.9819,1.139695,0.1350403,-19.2645,-6.611908,0.7991596,-17.68318,37,7.541962,15,1.715931,98,0,0,0,0,-6.671736,0.06208268,-0.005192061,15.62649,52.05968,14.63514,14.55611,7.411765,3.534359,-0.04542542,-0.9476776,-0.2914124,0,0,0,894.2533
02/23/2017 08:32:03.1226 AM,33.77712,-84.37116,9.320568,-0.05717555,0.02911063,-0.025114,1576.5,0,4.353218,22.94002,2.141076,1.085754,-4.816971,-0.7067719,-0.9426481,-18.35276,37,7.541962,15,3.222828,98,0,0,0,0,-6.671736,0.09401602,0.00427553,29.35653,52.05968,14.63157,14.49181,7.411765,7.650322,0.06904602,-0.9710236,-0.3011627,0,0,0,892.6671
02/23/2017 08:32:04.1187 AM,33.77713,-84.37127,12.42742,0.01395966,-0.01062528,-0.001527148,2102.5,0,6.636526,22.91371,1.87258,0.04663086,-4.9366,-1.195297,-0.06445307,-17.28424,37,8.702264,15,2.81799,98,0,0,0,0,-5.511434,0.119801,0.01643128,25.67515,73.33356,14.63157,14.67756,7.411765,11.27416,-0.005950928,-0.9406738,-0.2985992,0,0,0,892.253
02/23/2017 08:32:05.1281 AM,33.7771,-84.37133,15.53428,-0.02489891,0.01601931,-0.001595504,1912,0,7.409211,22.88348,2.096617,-0.004058838,-2.439941,-1.329163,-0.4240158,-18.72368,37,8.702264,15,3.156678,98,0,0,0,0,-5.511434,0.1209801,0.03235462,28.74695,70.52761,14.63871,15.371,7.411765,14.27165,0.0300293,-0.9611511,-0.3190918,0,0,0,889.2155
02/23/2017 08:32:05.7797 AM,33.7771,-84.37133,15.53428,-0.01401089,0.003174237,0.008677563,1813.5,0,7.409211,22.88348,2.096617,-1.416458,-2.554077,-0.4165344,-1.295428,-18.82381,37,8.99234,15,3.156678,98,0,0,0,0,-5.221359,0.1209801,0.03235462,28.74695,83.25462,14.63514,15.371,7.411765,14.27165,0.02752686,-0.9449463,-0.3208313,0,0,0,889.2155
02/23/2017 08:32:06.1277 AM,33.7771,-84.37141,19.26251,0.01088308,-0.004718991,0.00690494,1813.5,0,7.409211,22.88348,2.096617,-1.535385,-2.067566,-0.7846985,-1.647437,-19.40435,37,8.99234,15,3.156678,98,0,0,0,0,-5.221359,0.1378316,0.05027501,28.74695,83.25462,14.63514,14.23818,7.411765,15.81514,0.006088257,-0.9307098,-0.3214569,0,0,0,889.2327
02/23/2017 08:32:07.1635 AM,33.77708,-84.37151,19.26251,-0.02201625,0.03014939,0.03234681,1833.5,0,11.45627,22.86719,1.681395,-0.006500244,-0.9725342,0.6140747,-2.747661,-20.50261,41,7.832038,15,2.530899,98,0,0,0,0,-6.38166,0.1378316,0.05027501,23.05379,66.03825,14.63514,14.23818,7.411765,20.04295,0.05729675,-0.964035,-0.3812714,0,0,0,886.9517
02/23/2017 08:32:08.1481 AM,33.77702,-84.37162,23.6121,0.02681219,0.01275608,-0.02546205,1833.5,0,11.45627,22.86719,1.681395,0.7539825,2.426575,-2.265411,-4.203375,-21.0036,41,7.832038,15,2.530899,111,0,0,0,0,-6.38166,0.1289529,0.07311784,23.05379,66.03825,14.63514,14.86376,7.411765,21.92198,0.03794861,-0.9428101,-0.3583832,0,0,0,885.4817
02/23/2017 08:32:09.1343 AM,33.77702,-84.37174,23.6121,0.004211002,0.005402464,0.0219397,1618,0,29.2324,22.8746,0.8077375,0.6051178,-0.7910614,0.9188385,-6.560141,-23.18072,41,4.641208,15,1.215837,111,0,0,0,0,-9.572491,0.1289529,0.07311784,11.07498,35.94996,14.63871,14.81732,7.411765,22.88386,0.08270264,-0.9197235,-0.4292908,0,0,0,884.4874
02/23/2017 08:32:10.1514 AM,33.77702,-84.37185,23.6121,0.05502995,-0.0277907,-0.001437403,1298,0,32.93031,22.88203,0.7170326,-0.439743,-1.822693,0.9222107,-5.748824,-24.17587,41,4.786245,15,1.079568,111,0,0,0,0,-9.427453,0.0513227,0.07681388,9.831313,39.78056,14.64586,14.81732,7.411765,23.35361,0.03527832,-0.8752441,-0.425415,0,0,0,883.4694
02/23/2017 08:32:11.1565 AM,33.77702,-84.37199,24.23348,0.05816105,0.004404849,-0.003122404,1297,0,54.31442,22.8928,0.4461702,-0.5704956,-3.831711,0.9925385,-3.936501,-25.35088,41,3.625943,15,0.672084,111,0,0,0,0,-10.58776,0.0135264,0.08141552,6.117489,24.77235,14.64228,14.39893,7.411765,24.80762,0.00743103,-0.8992004,-0.4269257,0,0,0,883.2129
02/23/2017 08:32:12.1447 AM,33.77702,-84.37209,24.23348,0.03633568,0.03430763,-0.0002273006,1293.5,0,46.91326,22.90327,0.5165592,2.366257,-6.283554,-0.880722,-0.3465523,-24.12272,41,3.625943,15,0.777924,111,0,0,0,0,-10.58776,0.0135264,0.07691287,7.082601,28.75811,14.653,13.79836,7.411765,24.3826,-0.03001404,-0.9501343,-0.421875,0,0,0,883.8072
