# FuelCalculationMethod = MassAirFlow
Time, Latitude (deg), Longitude (deg), Vehicle speed (MPH), Accel X (g), Accel Y (g), Accel Z (g), Engine RPM (RPM), Actual engine - percent torque (%), Instant fuel economy (MPG), Total fuel economy (MPG), Fuel rate (gal/hr), Rotation Rate X (deg/s), Rotation Rate Y (deg/s), Rotation Rate Z (deg/s), Roll (deg), Pitch (deg), Engine coolant temperature (C), Intake manifold absolute pressure (psi), Intake air temperature (C), Mass air flow rate (lb/min), Time since engine start (sec), Engine oil temperature (C), Engine fuel rate (gal/hr), Driver's demand engine - percent torque (%), Engine reference torque (lb•ft), Boost (psi), Acceleration (g), Acceleration (Avg) (g), Engine Power (hp), Engine Torque (lb•ft), A/F Commanded, A/F Actual, Fuel Remaining (gal), GPS Speed (MPH), Accel (Grav) X (g), Accel (Grav) Y (g), Accel (Grav) Z (g), Distance traveled while MIL is activated (miles), Total engine run time (sec), Total idle run time (sec), Altitude (ft)
02/28/2017 06:27:00.0316 PM,33.91089,-84.5269,0,0.04919155,0.66838,0.1931708,0,0,0,25.64555,0,-0.2510529,-1.216187,0.3101501,3.901517,-15.94677,0,0,0,1.009449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.06977844,-0.9571533,-0.2748718,0,0,0,1013.698
02/28/2017 06:27:03.0597 PM,33.91086,-84.52695,0,-0.005045387,0.02584929,0.01183927,902,0,0,25.64276,0.6549647,-0.1895599,-1.277664,0.1886444,3.915786,-15.94067,40,6.091585,23,0.980343,0,0,0,0,0,-8.412189,0,0,8.980293,52.28993,14.62085,0,0,0,-0.06166077,-0.9533386,-0.2740936,0,0,0,1039.186
02/28/2017 06:27:04.0639 PM,33.91086,-84.52695,0,0.003050933,0.01122428,0.005195256,902,0,0,25.64276,0.6549647,-0.006652832,-1.399918,0.2504425,3.892109,-15.97227,40,6.091585,23,0.980343,38,0,0,0,0,-8.412189,0,0,8.980293,52.28993,14.62085,14.61326,3.294118,0,-0.07106018,-0.9585114,-0.2746429,0,0,0,1053.235
02/28/2017 06:27:10.0646 PM,33.91087,-84.52695,0,0.005128304,-0.004580288,0.01259731,817,0,0,25.63185,0.8196424,0.05619812,-0.6684418,0.5517731,5.014059,-17.67093,40,8.267151,23,1.234359,38,0,0,0,0,-5.946547,0,0,11.23821,72.24522,14.63514,14.59183,3.294118,0.5368647,-0.09046936,-0.9446259,-0.3119507,0,0,0,1049.601
02/28/2017 06:27:12.0825 PM,33.91088,-84.52695,1.242742,0.004018554,0.003122515,-0.002871651,802,0,1.64259,25.62681,0.7565748,0.6208496,4.755219,2.416046,4.172469,-15.82934,40,8.267151,23,1.139103,38,0,0,0,0,-5.946547,0.01718786,0.003437572,10.37348,71.028,14.63871,14.59183,3.294118,1.342162,-0.07804871,-0.9593506,-0.2755737,0,0,0,1048.458
02/28/2017 06:27:13.0980 PM,33.91087,-84.52693,1.864114,0.01529286,0.002759354,0.002544402,777,0,2.615789,25.62535,0.712639,0.9996643,8.532166,3.251831,5.094759,-16.33097,40,8.122113,23,1.072953,38,0,0,0,0,-6.091585,0.02230857,0.005987958,9.771072,70.1193,14.63871,14.52753,3.294118,1.834288,-0.09962463,-0.9580688,-0.2840881,0,0,0,1051.144
02/28/2017 06:27:14.0900 PM,33.91087,-84.52691,1.864114,0.02506113,-0.008743299,-0.0170499,780,0,2.615789,25.62535,0.712639,1.681595,11.76051,4.273514,6.033964,-15.92524,40,7.832038,23,1.072953,38,0,0,0,0,-6.38166,0.02230857,0.005987958,9.771072,65.7933,14.63871,14.52753,3.294118,2.236936,-0.1242218,-0.9460449,-0.2582703,0,0,0,1052.747
02/28/2017 06:27:15.0679 PM,33.91085,-84.52689,2.485485,-0.002311646,0.01405745,-0.0208183,780,0,3.832711,25.62357,0.6484927,0.574707,9.813614,3.610764,6.29695,-14.16546,40,7.832038,23,0.976374,38,0,0,0,0,-6.38166,0.02267143,0.007971858,8.891556,65.7933,14.63514,14.68828,3.294118,2.572477,-0.1038361,-0.9763641,-0.227066,0,0,0,1057.799
02/28/2017 06:27:16.0666 PM,33.91084,-84.5269,2.485485,-0.03483227,0.007061202,-0.03999806,720.5,0,3.832711,25.62357,0.6484927,-0.3070221,0.6124268,0.7889099,5.109453,-11.45725,40,7.977076,23,0.976374,38,0,0,0,0,-6.236623,0.02267143,0.007971858,8.891556,64.81535,14.63514,14.68828,3.294118,1.610594,-0.05657959,-0.9818115,-0.1688843,0,0,0,1058.227
02/28/2017 06:27:17.0658 PM,33.91085,-84.52689,2.485485,0.007561462,-0.01116575,0.01712502,720.5,0,3.832711,25.62357,0.6484927,-0.1270752,-1.156631,0.005325317,4.83581,-13.92631,40,7.977076,23,0.976374,38,0,0,0,0,-6.236623,0.02267143,0.007971858,8.891556,64.81535,14.63514,14.68828,3.294118,0.6934503,-0.09642029,-0.9550171,-0.2598572,0,0,0,1058.285
