# FuelCalculationMethod = MassAirFlow
Time, Latitude (deg), Longitude (deg), Vehicle speed (MPH), Accel X (g), Accel Y (g), Accel Z (g), Engine RPM (RPM), Actual engine - percent torque (%), Instant fuel economy (MPG), Total fuel economy (MPG), Fuel rate (gal/hr), Rotation Rate X (deg/s), Rotation Rate Y (deg/s), Rotation Rate Z (deg/s), Roll (deg), Pitch (deg), Engine coolant temperature (C), Intake manifold absolute pressure (psi), Intake air temperature (C), Mass air flow rate (lb/min), Time since engine start (sec), Engine oil temperature (C), Engine fuel rate (gal/hr), Driver's demand engine - percent torque (%), Engine reference torque (lb•ft), Acceleration (g), Acceleration (Avg) (g), Engine Power (hp), Engine Torque (lb•ft), A/F Commanded, A/F Actual, Fuel Remaining (gal), GPS Speed (MPH), Accel (Grav) X (g), Accel (Grav) Y (g), Accel (Grav) Z (g), Distance traveled while MIL is activated (miles), Total engine run time (sec), Total idle run time (sec), Altitude (ft), Boost (psi)
03/02/2017 08:59:32.0810 AM,33.77934,-84.37011,0,-0.00863247,0.4163098,0.1941149,0,0,0,26.58724,0,0.1759949,-1.521988,0.3731842,-1.798633,-25.54937,0,0,0,1.207899,0,0,0,0,0,0,0,0,0,14.63514,0,0,0.3802792,0.02537537,-0.8992767,-0.4265594,0,0,0,874.4347,0
03/02/2017 08:59:33.0676 AM,33.77934,-84.37011,0,-0.001596279,0.1402837,0.06590486,0,0,0,26.58724,0,0.1755066,-1.643784,0.373764,-1.801009,-25.30703,0,0,0,1.207899,0,0,0,0,0,0,0,0,0,14.63514,0,0,0.3802792,0.02792358,-0.890213,-0.422821,0,0,0,873.5278,0
03/02/2017 08:59:34.0936 AM,33.77934,-84.3701,1.242742,-0.005187056,0.05480103,0.01411725,745,0,1.739145,26.5851,0.7145708,0.3586884,-1.827301,0.3139648,-1.870854,-25.1207,0,0,0,1.075599,0,0,0,0,0,0.01040044,0.002080089,9.79756,69.071,14.63514,0,0,0.7158196,0.03421021,-0.90448,-0.4158936,0,0,0,874.7154,0
03/02/2017 08:59:35.0984 AM,33.77934,-84.37009,1.242742,0.001683246,0.02396146,0.0005402389,745,0,1.739145,26.5851,0.7145708,-0.0705719,-2.008499,0.3141937,-1.734908,-24.76118,46,7.832038,9,1.075599,0,0,0,0,0,0.01040044,0.002080089,9.79756,69.071,14.63514,0,0,1.722441,0.02963257,-0.909668,-0.4126587,0,0,0,874.0251,-6.671736
03/02/2017 08:59:36.0996 AM,33.77933,-84.37009,1.864114,-0.005847258,0.01128105,-0.008178075,745,0,1.739145,26.5851,0.7145708,-0.3139038,-1.947662,0.00881958,-1.746394,-24.35286,46,7.832038,9,1.075599,53,0,0,0,0,0.01611148,0.003222296,9.79756,69.071,14.63514,14.75659,1.262745,2.035612,0.0370636,-0.911026,-0.4028931,0,0,0,873.1423,-6.671736
03/02/2017 08:59:37.0954 AM,33.77933,-84.37007,1.864114,-0.0130726,0.01978424,-0.0383133,745,0,2.608718,26.58259,0.7145708,-0.8102875,-6.52153,-2.712631,-2.269336,-22.66356,46,7.832038,9,1.075599,53,0,0,0,0,0.01611148,0.003222296,9.79756,69.071,14.63871,14.73471,1.262745,2.304044,0.046875,-0.9338837,-0.3507996,0,0,0,873.3477,-6.526698
03/02/2017 08:59:38.0809 AM,33.77933,-84.37006,1.864114,0.0223472,-0.009742193,0.03426904,803.5,0,2.202913,26.58124,0.8462039,0.09967041,-8.53418,-2.640747,-2.425262,-23.75961,46,8.412189,9,1.274049,53,0,0,0,0,0.005711036,0.003222296,11.6024,75.83957,14.63871,14.73471,1.262745,1.565855,0.01719666,-0.9024048,-0.4320984,0,0,0,871.2972,-5.946547
03/02/2017 08:59:39.0482 AM,33.77933,-84.37006,1.242742,0.0001834716,-0.007417428,0.009297717,803.5,0,1.654117,26.57998,0.7513025,0.3408051,-10.18129,-3.302933,-1.740197,-25.1347,46,8.412189,9,1.131165,53,0,0,0,0,-0.01313972,0.000594353,10.30119,75.83957,14.63514,14.64541,1.262745,1.163207,0.03323364,-0.8988953,-0.4272766,0,0,0,871.286,-5.946547
03/02/2017 08:59:40.0983 AM,33.77933,-84.37006,1.864114,-0.01106047,0.009165096,-0.02065724,786,0,2.4101,26.57856,0.7734592,0.4064178,-9.085342,-3.30806,-2.800642,-24.51606,46,7.977076,9,1.16424,53,0,0,0,0,-0.003513475,0.002519601,10.60499,68.83337,14.63514,14.65613,1.262745,1.431639,0.05578613,-0.9161072,-0.39328,0,0,0,873.262,-6.38166
03/02/2017 08:59:41.0956 AM,33.77933,-84.37006,1.864114,-0.03810776,0.003881959,-0.0302106,816,0,2.4101,26.57856,0.7734592,0.2346344,-2.619644,-0.04811096,-4.214707,-22.74772,46,7.977076,9,1.16424,53,0,0,0,0,-0.003513475,0.002519601,10.60499,68.25806,14.63514,14.65613,1.262745,1.275054,0.107132,-0.9193115,-0.3586121,0,0,0,875.5965,-6.38166
03/02/2017 08:59:43.0982 AM,33.77934,-84.37006,0,0.05137908,0.002719994,-0.02039693,811,0,0,26.575,0.8105721,0.5870667,-7.434967,-1.060699,-1.673185,-19.94271,46,7.251887,9,1.219806,53,0,0,0,0,-0.02627117,-0.002734633,11.11384,73.43958,14.63157,14.39179,1.262745,0.4697566,-0.0133667,-0.9342957,-0.3364716,0,0,0,877.2928,-7.106849
03/02/2017 08:59:44.1009 AM,33.77934,-84.37006,2.485485,0.04808452,-0.006124277,0.01095214,768.5,0,0,26.575,0.8105721,0.5079498,-16.76585,-5.587204,1.315801,-20.58741,46,8.702264,9,1.219806,53,0,0,0,0,0.04777928,0.006821224,11.11384,75.95467,14.63514,14.96378,1.262745,2.080351,-0.05667114,-0.9264221,-0.3695831,0,0,0,877.9205,-5.656472
03/02/2017 08:59:45.1020 AM,33.77935,-84.37006,2.485485,0.01031693,0.002076499,-0.01655728,745.5,0,3.816262,26.57405,0.6512878,0.08267212,-19.39267,-8.805389,1.770684,-19.53831,46,8.267151,9,0.980343,53,0,0,0,0,0.04777928,0.006821224,8.929879,62.91179,14.64228,14.38464,1.262745,2.840909,-0.04168701,-0.9365387,-0.3265991,0,0,0,879.4418,-6.091585
03/02/2017 08:59:46.0889 AM,33.77937,-84.37005,3.728227,0.02086131,0.01626541,0.04268014,1011.5,0,3.969921,26.57248,0.9391187,-0.4536896,-10.36267,-3.790802,0.2012185,-20.10028,46,8.267151,9,1.414287,53,0,0,0,0,0.07142344,0.01155005,12.87636,66.85922,14.63871,14.38464,1.262745,4.093594,-0.03385925,-0.9519501,-0.3919983,0,0,0,879.068,-6.091585
03/02/2017 08:59:47.0873 AM,33.77938,-84.37005,4.97097,-0.004550112,-0.06116208,-0.06505493,1011.5,0,3.969921,26.57248,0.9391187,-3.842056,0.3695068,-3.115631,-1.06311,-21.46392,46,7.106849,9,1.414287,53,0,0,0,0,0.04015892,0.01485301,12.87636,66.85922,14.63871,14.45251,1.262745,4.630458,0.01287842,-0.8581085,-0.3019409,0,0,0,879.7234,-7.251887
03/02/2017 08:59:48.0602 AM,33.7794,-84.37004,4.97097,0.02273627,-0.001829858,0.05261409,1145.5,0,5.105669,26.57053,0.9736178,-1.047272,0.3136139,1.825302,-0.3458027,-23.55158,46,5.946547,9,1.465884,53,0,0,0,0,0.04015892,0.01485301,13.34938,61.20686,14.63514,14.69899,1.262745,4.89889,-0.01342773,-0.9060211,-0.4464417,0,0,0,880.264,-8.412189
03/02/2017 08:59:49.0943 AM,33.77942,-84.37003,5.592341,-0.01338104,-0.0255839,-0.01795876,1034.5,0,8.209888,26.56983,0.6811714,-0.1677704,1.821533,-2.020111,0.55363,-23.6527,46,5.511434,9,1.025325,67,0,0,0,0,0.02809866,0.0150897,9.339618,47.41685,14.64228,14.69899,1.262745,4.630458,0.007247925,-0.8786011,-0.3869171,0,0,0,880.2981,-8.847302
