# FuelCalculationMethod = MassAirFlow
Time, Latitude (deg), Longitude (deg), Vehicle speed (MPH), Accel X (g), Accel Y (g), Accel Z (g), Engine RPM (RPM), Actual engine - percent torque (%), Instant fuel economy (MPG), Total fuel economy (MPG), Fuel rate (gal/hr), Rotation Rate X (deg/s), Rotation Rate Y (deg/s), Rotation Rate Z (deg/s), Roll (deg), Pitch (deg), Engine coolant temperature (C), Intake manifold absolute pressure (psi), Intake air temperature (C), Mass air flow rate (lb/min), Time since engine start (sec), Engine oil temperature (C), Engine fuel rate (gal/hr), Driver's demand engine - percent torque (%), Engine reference torque (lb•ft), Acceleration (g), Acceleration (Avg) (g), Engine Power (hp), Engine Torque (lb•ft), A/F Commanded, A/F Actual, Fuel Remaining (gal), GPS Speed (MPH), Accel (Grav) X (g), Accel (Grav) Y (g), Accel (Grav) Z (g), Distance traveled while MIL is activated (miles), Total engine run time (sec), Total idle run time (sec), Altitude (ft), Boost (psi)
03/29/2017 04:53:36.6679 PM,33.91079,-84.52684,0,-0.01841833,0.3407421,0.1886332,0,0,0,0,0,-0.6237946,-1.272141,1.528763,1.364057,-25.5595,49,13.48851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3355404,0.00617981,-0.884613,-0.4509583,0,0,0,1036.631,-1.015264
03/29/2017 04:53:37.6596 PM,33.91079,-84.52684,0,-0.02579036,0.1033446,0.04839597,0,0,0,0,0,-0.3161163,-5.54924,-2.838425,1.155057,-25.90538,49,13.48851,36,0,73,0,0,0,0,0,0,0,0,0,0,0,0.5592341,0.01165771,-0.8821411,-0.4249268,0,0,0,1037.819,-1.015264
03/29/2017 04:53:38.6598 PM,33.91079,-84.52685,0,-0.01112052,0.05140264,0.02975947,0,0,0,0,0,-2.399139,-1.204865,1.586761,1.046387,-25.94219,49,13.48851,36,0,73,0,0,0,0,0,0,0,0,0,14.1846,0,0.8724051,-0.003036499,-0.910202,-0.442627,0,0,0,1038.567,-1.015264
03/29/2017 04:53:39.6622 PM,33.91079,-84.52686,1.864114,-0.0002916,0.04818044,0.01606269,708.5,0,3.001008,26.34594,0.6211624,1.284012,-2.018692,-1.5121,1.127831,-25.6303,49,13.48851,36,0.932715,73,0,0,0,0,0.01046532,0.002093064,8.516827,63.13527,14.59227,14.1846,13.9451,1.901396,-0.01773071,-0.936142,-0.4376373,0,0,0,1038.748,-1.015264
03/29/2017 04:53:40.6667 PM,33.91079,-84.52687,1.864114,0.02366111,0.05181551,-0.004717212,708.5,0,3.001008,26.34594,0.6211624,-0.3820801,-3.16394,0.5020752,1.042309,-25.07528,49,13.48851,36,0.932715,76,0,0,0,0,0.01046532,0.002093064,8.516827,63.13527,14.59227,14.25604,13.9451,1.811918,-0.04257202,-0.9573059,-0.4144592,0,0,0,1038.914,-0.580151
03/29/2017 04:53:41.6698 PM,33.91079,-84.52689,1.864114,-0.003980425,0.001754433,-0.0125369,708.5,0,2.928913,26.3455,0.6364523,-0.5643463,-4.568893,-1.137009,1.294345,-24.21624,49,13.48851,36,0.955206,76,0,0,0,0,0.01046532,0.002093064,8.726467,63.13527,14.59942,14.25604,13.9451,1.811918,-0.01818848,-0.9110565,-0.3966217,0,0,0,1037.806,-0.580151
03/29/2017 04:53:42.6734 PM,33.91079,-84.52689,1.864114,-0.0009488569,0.003451132,0.01442748,717.5,0,2.928913,26.3455,0.6364523,-0.8831482,-12.8644,-5.912582,0.9471903,-24.6218,49,13.48851,36,0.955206,76,0,0,0,0,0.01046532,0.002093064,8.726467,63.8779,14.59942,14.34535,13.9451,1.632964,-0.01028442,-0.8686829,-0.4294128,0,0,0,1037.573,-0.580151
03/29/2017 04:53:43.6731 PM,33.91079,-84.5269,1.864114,-0.006481909,-0.005869804,0.02016627,729.5,0,2.740558,26.3451,0.6801949,1.754486,-7.930603,-2.519287,0.6547282,-25.06072,49,13.48851,36,1.021356,76,0,0,0,0,0,0.002093064,9.326227,67.14517,14.63514,14.34535,13.9451,1.722441,-0.001190186,-0.900116,-0.443985,0,0,0,1037.227,-0.580151
03/29/2017 04:53:44.6764 PM,33.91079,-84.52692,1.864114,-0.02387009,-0.01033756,-0.02861809,729.5,0,2.536947,26.34472,0.7347862,-0.02641296,-10.54649,-3.667404,0.1842552,-24.86158,49,13.63355,36,1.106028,76,0,0,0,0,0,0.002093064,10.07474,67.14517,14.63514,14.54896,13.9451,1.342162,0.02270508,-0.8947754,-0.3922882,0,0,0,1039.592,-0.4351132
03/29/2017 04:53:45.6768 PM,33.9108,-84.52692,0.6213712,0.06721325,-0.04112645,0.1143122,758,0,0.8600517,26.34447,0.7224812,1.16243,-0.2478333,-0.05804443,-1.713651,-21.17494,49,13.63355,36,1.087506,76,0,0,0,0,-0.02432962,-0.00277286,9.90602,69.80693,14.63871,14.59183,13.9451,1.386901,-0.04663086,-0.8816833,-0.497467,0,0,0,1040.656,-0.4351132
