# FuelCalculationMethod = MassAirFlow
Time, Latitude (deg), Longitude (deg), Vehicle speed (MPH), Accel X (g), Accel Y (g), Accel Z (g), Engine RPM (RPM), Actual engine - percent torque (%), Instant fuel economy (MPG), Total fuel economy (MPG), Fuel rate (gal/hr), Rotation Rate X (deg/s), Rotation Rate Y (deg/s), Rotation Rate Z (deg/s), Roll (deg), Pitch (deg), Engine coolant temperature (C), Intake manifold absolute pressure (psi), Intake air temperature (C), Mass air flow rate (lb/min), Time since engine start (sec), Engine oil temperature (C), Engine fuel rate (gal/hr), Driver's demand engine - percent torque (%), Engine reference torque (lb•ft), Boost (psi), Acceleration (g), Acceleration (Avg) (g), Engine Power (hp), Engine Torque (lb•ft), A/F Commanded, A/F Actual, Fuel Remaining (gal), GPS Speed (MPH), Accel (Grav) X (g), Accel (Grav) Y (g), Accel (Grav) Z (g), Distance traveled while MIL is activated (miles), Total engine run time (sec), Total idle run time (sec), Altitude (ft)
02/27/2017 06:20:45.1139 PM,33.91081,-84.52702,0,-0.1307736,-0.0003555306,0.2887065,867,0,0,25.35095,0,-9.109802,-37.40559,5.284195,5.195567,-26.61417,31,6.236623,15,0.998865,42,0,0,0,0,-8.267151,0,0,0,0,14.63871,14.77445,4.666667,0.5592341,-0.01385498,-0.9150085,-0.5165253,0,0,0,1053.675
02/27/2017 06:20:47.0957 PM,33.91082,-84.52702,0,0.05439418,0.04488965,0.05407366,857,0,0,25.34655,0.6388268,18.26555,0.1217346,-19.41498,16.26113,-20.90125,32,6.38166,15,0.961821,45,0,0,0,0,-7.832038,0,0,8.759026,53.67957,14.64228,14.65613,4.666667,1.118468,-0.2457581,-0.9503174,-0.3921204,0,0,0,1053.121
02/27/2017 06:20:48.1544 PM,33.91081,-84.52703,0,0.09539948,-0.4323713,-0.4258975,857,0,0,25.34655,0.6388268,34.8835,11.36713,13.34433,-18.48018,15.10197,32,6.38166,15,0.961821,45,0,0,0,0,-7.832038,0,0,8.759026,53.67957,14.64228,14.65613,4.666667,1.275054,0.5319519,-0.4774933,0.3208618,0,0,0,1051.75
02/27/2017 06:20:49.0889 PM,33.91081,-84.52704,0,0.1758023,-0.03517654,-0.1216347,851,0,0,25.3411,0.624615,-59.25381,-42.33804,-12.44046,0.9900665,-12.27727,32,6.236623,15,0.940653,45,0,0,0,0,-7.977076,0,0,8.564165,52.85542,14.63871,14.60612,4.666667,0.5816034,-0.0997467,-0.8854523,0.003387451,0,0,0,1053.27
02/27/2017 06:20:50.0858 PM,33.91082,-84.52704,0,0.02375282,-0.007989179,0.1182686,843,0,0,25.3393,0.6317971,-0.006408691,-1.33902,0.2501526,0.2991387,-21.85527,32,6.38166,15,0.951237,45,0,0,0,0,-7.832038,0,0,8.662641,53.97054,14.63871,14.64541,4.666667,1.74481,-0.000579834,-0.9230194,-0.3767853,0,0,0,1052.953
02/27/2017 06:20:56.3343 PM,33.91082,-84.52704,0,0.006724695,0.0006417682,-0.002833758,800,0,0,25.32814,0.6123159,-0.006408691,-1.33902,0.2501526,0.2843938,-21.80587,32,6.38166,15,0.922131,45,0,0,0,0,-7.832038,0,0,8.395532,55.1313,14.63871,14.57754,4.666667,0,-0.0125885,-0.9267578,-0.3686218,0,0,0,1052.062
02/27/2017 06:21:01.1037 PM,33.91084,-84.52699,0,-0.004282982,-0.002728887,-0.002043682,791.5,0,0,25.31747,0.8077375,-0.1910858,-1.398727,0.4329987,0.2953662,-21.96342,32,8.122113,15,1.215837,45,0,0,0,0,-6.091585,0,0,11.07498,73.48962,14.63871,14.23818,4.666667,0,-9.155273E-05,-0.9229126,-0.3718414,0,0,0,1053.221
02/27/2017 06:21:06.1095 PM,33.91084,-84.52698,0.6213712,0.01451751,0.01253794,-0.003901141,752.5,0,0.8598418,25.30583,0.7226576,0.3168488,6.770126,3.807724,0.7631131,-23.28676,32,8.122113,15,1.087506,60,0,0,0,0,-6.091585,0.01200415,0.002400831,9.908439,69.15646,14.63514,14.68828,4.666667,2.035612,-0.02470398,-0.9285126,-0.3933411,0,0,0,1055.985
02/27/2017 06:21:07.1346 PM,33.91084,-84.52697,1.864114,0.02274691,-0.01433357,-0.01611648,715.5,0,2.747264,25.3032,0.6785346,0.1411743,10.12399,5.07132,1.551533,-22.91515,32,7.832038,15,1.021356,60,0,0,0,0,-6.38166,0.03137305,0.00627461,9.303464,68.29189,14.63514,14.68828,4.666667,2.169828,-0.04489136,-0.9037628,-0.3746338,0,0,0,1052.263
02/27/2017 06:21:08.0859 PM,33.91083,-84.52696,2.485485,0.007645941,-0.003768984,-0.0008722419,721.5,0,3.760439,25.30137,0.660956,0.1409149,11.16237,6.102432,2.360806,-22.94373,32,7.687,15,0.994896,60,0,0,0,0,-6.526698,0.0317522,0.008751269,9.062442,65.96947,14.63157,14.68828,4.666667,2.169828,-0.04370117,-0.9144287,-0.3864288,0,0,0,1052.261
