# FuelCalculationMethod = MassAirFlow
Time, Latitude (deg), Longitude (deg), Vehicle speed (MPH), Accel X (g), Accel Y (g), Accel Z (g), Engine RPM (RPM), Actual engine - percent torque (%), Instant fuel economy (MPG), Total fuel economy (MPG), Fuel rate (gal/hr), Rotation Rate X (deg/s), Rotation Rate Y (deg/s), Rotation Rate Z (deg/s), Roll (deg), Pitch (deg), Engine coolant temperature (C), Intake manifold absolute pressure (psi), Intake air temperature (C), Mass air flow rate (lb/min), Time since engine start (sec), Engine oil temperature (C), Engine fuel rate (gal/hr), Driver's demand engine - percent torque (%), Engine reference torque (lb•ft), Boost (psi), Acceleration (g), Acceleration (Avg) (g), Engine Power (hp), Engine Torque (lb•ft), A/F Commanded, A/F Actual, Fuel Remaining (gal), GPS Speed (MPH), Accel (Grav) X (g), Accel (Grav) Y (g), Accel (Grav) Z (g), Distance traveled while MIL is activated (miles), Total engine run time (sec), Total idle run time (sec), Altitude (ft)
02/27/2017 08:32:37.0904 AM,33.77714,-84.37148,2.485485,-0.02179883,-0.002142458,0.01769179,735,0,0,24.22607,0.7444544,-0.4230042,3.845016,2.296951,-5.460218,-24.12116,32,8.557226,9,1.120581,106,0,0,0,0,-5.801509,0.05740124,0.01148025,10.2073,72.93861,14.63514,14.91734,5.105882,1.901396,0.1115265,-0.8992004,-0.4282532,0,0,0,888.0026
02/27/2017 08:32:38.1013 AM,33.77714,-84.37149,2.485485,0.009199945,0.005342543,-0.02500394,783.5,0,3.800874,24.22381,0.6539246,0.0025177,1.341766,0.6640015,-4.35181,-24.65653,32,7.396924,9,0.984312,106,0,0,0,0,-6.961812,0.05740124,0.01148025,8.966033,60.10289,14.63514,14.91734,5.105882,3.444882,0.07192993,-0.9052582,-0.3938904,0,0,0,887.864
02/27/2017 08:32:39.0963 AM,33.77713,-84.37151,3.728227,0.009565742,0.0284556,-0.07271071,1213.5,0,4.233308,24.2208,0.8806887,-0.2487488,-2.133865,-1.087204,-4.781128,-20.56771,32,7.832038,9,1.325646,106,0,0,0,0,-6.526698,0.07947039,0.01589408,12.07522,52.26241,14.63514,14.41679,5.105882,5.055476,0.07325745,-0.9522247,-0.2894135,0,0,0,885.2808
02/27/2017 08:32:40.0789 AM,33.77712,-84.37154,6.835083,0.02875581,-0.02383238,0.02656392,2064,0,3.290981,24.21256,2.076914,-0.1907959,-2.559265,-0.7194214,-4.591069,-18.43814,32,9.282415,9,3.126249,106,0,0,0,0,-5.076321,0.08580031,0.02864031,28.4768,72.46286,14.63871,14.29534,5.105882,7.605584,0.05747986,-0.9134674,-0.3546753,0,0,0,884.2379
02/27/2017 08:32:41.1108 AM,33.77711,-84.37158,11.18468,-0.04754825,0.01149413,-0.03136242,2180,0,4.410406,24.20469,2.535975,0.2399597,-2.134842,-0.8426971,-4.627865,-18.32364,32,9.282415,9,3.818178,106,0,0,0,0,-5.076321,0.1517367,0.04624142,34.77104,83.77131,14.63871,14.38464,5.105882,8.477988,0.1277771,-0.9611206,-0.2831879,0,0,0,884.562
02/27/2017 08:32:42.1211 AM,33.77711,-84.37163,14.91291,-0.0107869,-0.04956441,0.06438013,2128.5,0,6.729279,24.19805,2.216123,-0.6736145,-2.257095,-2.062363,-5.57267,-19.09601,32,9.717528,9,3.336606,106,0,0,0,0,-4.641208,0.1732181,0.06328392,30.38551,74.9768,14.63157,14.08458,5.105882,8.701682,0.08337402,-0.8944855,-0.3999634,0,0,0,884.0313
02/27/2017 08:32:43.1221 AM,33.77709,-84.37174,16.77702,-0.00909086,0.02099277,0.01046046,1926,0,7.584789,24.19305,2.21193,0.8527679,-2.564911,-1.388245,-5.887928,-19.29086,32,8.557226,9,3.328668,106,0,0,0,0,-5.801509,0.1269806,0.07163754,30.32802,82.70311,14.63157,15.1281,5.105882,14.02559,0.09382629,-0.9716034,-0.3506165,0,0,0,882.5803
02/27/2017 08:32:44.1232 AM,33.77708,-84.37183,20.50525,0.02078028,0.007228662,0.02724102,1926,0,11.00711,24.18849,1.862909,0.9078522,-2.927216,-0.2894287,-5.566785,-20.61203,32,8.847302,9,2.803437,106,0,0,0,0,-5.511434,0.1099822,0.08528036,25.54256,82.70311,14.63514,14.63827,5.105882,16.50859,0.06646729,-0.9436035,-0.3860931,0,0,0,881.5927
02/27/2017 08:32:45.1244 AM,33.77706,-84.37196,22.36936,0.008007626,0.001956996,0.03301053,1922,0,14.32226,24.18627,1.56186,-0.1331024,-2.984482,-0.2906952,-4.97944,-22.19447,32,7.832038,9,2.350971,106,0,0,0,0,-6.526698,0.1132357,0.09428469,21.41484,69.79833,14.63157,15.0638,5.105882,21.67591,0.0763855,-0.9163361,-0.4025269,0,0,0,879.1324
02/27/2017 08:32:46.1430 AM,33.77702,-84.37209,22.99073,0.03223383,-0.009599211,0.05644261,1704.5,0,43.8044,24.18815,0.5248498,2.18782,-3.294159,0.6893311,-3.422959,-25.579,32,4.931283,9,0.789831,118,0,0,0,0,-9.427453,0.05643113,0.09656659,7.196275,65.98601,14.63157,14.38107,5.105882,22.39173,0.03645325,-0.8808441,-0.4906464,0,0,0,877.0573
