# FuelCalculationMethod = MassAirFlow
Time, Latitude (deg), Longitude (deg), Vehicle speed (MPH), Accel X (g), Accel Y (g), Accel Z (g), Engine RPM (RPM), Actual engine - percent torque (%), Instant fuel economy (MPG), Total fuel economy (MPG), Fuel rate (gal/hr), Rotation Rate X (deg/s), Rotation Rate Y (deg/s), Rotation Rate Z (deg/s), Roll (deg), Pitch (deg), Engine coolant temperature (C), Intake manifold absolute pressure (psi), Intake air temperature (C), Mass air flow rate (lb/min), Time since engine start (sec), Engine oil temperature (C), Engine fuel rate (gal/hr), Driver's demand engine - percent torque (%), Engine reference torque (lb•ft), Acceleration (g), Acceleration (Avg) (g), Engine Power (hp), Engine Torque (lb•ft), A/F Commanded, A/F Actual, Fuel Remaining (gal), GPS Speed (MPH), Accel (Grav) X (g), Accel (Grav) Y (g), Accel (Grav) Z (g), Distance traveled while MIL is activated (miles), Total engine run time (sec), Total idle run time (sec), Altitude (ft), Boost (psi)
03/01/2017 01:28:31.0718 PM,33.91073,-84.52672,0,-0.05402603,0.9147316,0.2326729,0,0,0,26.37176,0,0,0,0,0,0,0,0,0,0.777924,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05686951,-0.9628754,-0.2449188,0,0,0,1053.129,0
03/01/2017 01:28:32.0670 PM,33.91073,-84.52672,0,-0.01825963,0.3284523,0.07293665,0,0,0,26.37176,0,-0.1900482,-1.39946,0.1892242,-3.244,-13.73501,0,0,0,0.777924,0,0,0,0,0,0,0,0,0,14.64228,0,0,0,0.05525208,-0.9668427,-0.2277985,0,0,0,1054.221,0
03/01/2017 01:28:33.0897 PM,33.91079,-84.52679,0,-0.00186941,0.114178,0.02131064,0,0,0,26.37176,0,-0.19133,-1.459625,0.4332886,-3.254803,-13.70631,0,0,0,0.777924,0,0,0,0,0,0,0,0,0,14.64228,0,0,0,0.05186462,-0.9705963,-0.2277374,0,0,0,1054.615,0
03/01/2017 01:28:36.0877 PM,33.91079,-84.52679,0,-0.002747701,0.006590378,0.003569636,738,0,0,26.37176,0,-0.01463318,-1.638565,1.897079,-3.266381,-13.69199,94,6.816774,49,0.777924,44,0,0,0,0,0,0,0,0,14.64228,14.49895,1.756863,0,0.05934143,-0.9693756,-0.2372284,0,0,0,1058.375,-7.687
03/01/2017 01:28:40.0810 PM,33.91083,-84.52683,0,0.007748069,-0.002728988,0.03599422,735,0,0,26.36455,0.5726436,0.1757202,-1.460724,0.4947815,-3.101472,-14.23744,95,6.816774,48,0.862596,47,0,0,0,0,0,0,7.851581,49.66357,14.64228,14.51324,1.756863,0,0.04705811,-0.9647064,-0.2773743,0,0,0,1058.669,-7.251887
03/01/2017 01:28:41.0978 PM,33.91084,-84.52683,0,0.007427381,-0.004146867,0.009946567,699.5,0,0,26.36455,0.5726436,0.05427551,-1.277786,0.432785,-2.923923,-14.89337,95,8.99234,48,0.862596,47,0,0,0,0,0,0,7.851581,58.95266,14.64228,14.51324,1.756863,0.3802792,0.04467773,-0.9612274,-0.2627716,0,0,0,1059.022,-5.076321
03/01/2017 01:28:42.0775 PM,33.91083,-84.52684,0,-0.002254647,0.002349249,-0.004944434,699.5,0,0,26.36455,0.5726436,-0.2515259,-1.399063,0.2500763,-3.436058,-13.15347,95,8.99234,48,0.862596,47,0,0,0,0,0,0,7.851581,58.95266,14.64228,14.70971,1.756863,1.028991,0.06057739,-0.9721832,-0.2273254,0,0,0,1058.716,-5.076321
03/01/2017 01:28:43.0812 PM,33.91083,-84.52684,0,0.01110711,-0.009093468,0.01073247,699.5,0,0,26.36125,0.643942,-0.191803,-1.642502,0.3732147,-2.842071,-15.03387,95,8.99234,48,0.969759,47,0,0,0,0,0,0,8.829161,58.95266,14.63514,14.70971,1.756863,0.5816034,0.04049683,-0.9563446,-0.2637177,0,0,0,1056.674,-5.076321
03/01/2017 01:28:46.0903 PM,33.91081,-84.52687,1.242742,-0.002602225,-0.006710758,-0.01865444,660,0,2.037356,26.35917,0.609978,0.2914886,-3.838181,-0.1641083,-2.788598,-14.9313,95,8.267151,48,0.918162,47,0,0,0,0,0.0119345,0.002386899,8.363477,66.55444,14.63871,14.52038,1.756863,2.147459,0.05247498,-0.9578857,-0.239212,0,0,0,1056.133,-5.801509
03/01/2017 01:28:47.1079 PM,33.91081,-84.52688,1.864114,-0.007452164,0.005668527,0.009880566,657.5,0,3.171009,26.35771,0.5878613,0.4625854,-8.59343,-1.66481,-3.00387,-13.97294,95,8.847302,48,0.885087,47,0,0,0,0,0.02049497,0.004098993,8.060231,64.38517,14.63514,14.52038,1.756863,1.923765,0.05934143,-0.9747772,-0.252182,0,0,0,1056.235,-5.221359
03/01/2017 01:28:48.0999 PM,33.91081,-84.52689,1.864114,-0.003182409,-0.009732735,0.01973918,657.5,0,2.798005,26.35633,0.6662296,0.08682251,-11.09006,-2.019135,-3.588562,-14.16328,95,8.847302,48,1.002834,47,0,0,0,0,0.008560469,0.004098993,9.134748,64.38517,14.63514,14.81732,1.756863,2.10272,0.06278992,-0.9575653,-0.2609558,0,0,0,1056.538,-5.221359
03/01/2017 01:28:49.0978 PM,33.91081,-84.5269,1.864114,0.01182542,0.001964556,0.01609524,732,0,2.925362,26.35524,0.6372249,1.003708,-11.76405,-2.31929,-3.472024,-15.06989,95,8.702264,48,0.959175,47,0,0,0,0,0,0.004098993,8.737062,65.54198,14.63514,14.57754,1.756863,1.476378,0.05062866,-0.966156,-0.2722168,0,0,0,1056.678,-5.366396
03/01/2017 01:28:51.0970 PM,33.91081,-84.52689,1.864114,0.01072309,-0.002106698,-0.04310852,729.5,0,2.839207,26.35377,0.6565614,-0.1309967,-2.069916,0.07061768,-5.368124,-11.37329,95,8.412189,48,0.988281,47,0,0,0,0,0,0.004098993,9.002186,62.9034,14.63871,14.57754,1.756863,1.006621,0.0763855,-0.9685974,-0.1669006,0,0,0,1057.887,-5.656472
03/01/2017 01:28:53.1099 PM,33.91081,-84.52689,1.242742,0.03652425,0.002288922,-0.01031598,764.5,0,0,26.35245,0.6221312,0.9953918,-13.7735,-2.248779,-0.4583835,-9.580242,95,7.832038,48,0.936684,47,0,0,0,0,-0.008580617,0.00238287,8.53011,58.60184,14.63871,14.32392,1.756863,1.073729,-0.01385498,-0.9845886,-0.1692505,0,0,0,1058.582,-6.236623
