# FuelCalculationMethod = MassAirFlow
Time, Latitude (deg), Longitude (deg), Vehicle speed (MPH), Accel X (g), Accel Y (g), Accel Z (g), Engine RPM (RPM), Actual engine - percent torque (%), Instant fuel economy (MPG), Total fuel economy (MPG), Fuel rate (gal/hr), Rotation Rate X (deg/s), Rotation Rate Y (deg/s), Rotation Rate Z (deg/s), Roll (deg), Pitch (deg), Engine coolant temperature (C), Intake manifold absolute pressure (psi), Intake air temperature (C), Mass air flow rate (lb/min), Time since engine start (sec), Engine oil temperature (C), Engine fuel rate (gal/hr), Driver's demand engine - percent torque (%), Engine reference torque (lb•ft), Acceleration (g), Acceleration (Avg) (g), Engine Power (hp), Engine Torque (lb•ft), A/F Commanded, A/F Actual, Fuel Remaining (gal), GPS Speed (MPH), Accel (Grav) X (g), Accel (Grav) Y (g), Accel (Grav) Z (g), Distance traveled while MIL is activated (miles), Total engine run time (sec), Total idle run time (sec), Altitude (ft), Boost (psi)
03/15/2017 06:22:31.0886 PM,33.91071,-84.52693,0,-0.005844373,0.2576777,0.1468106,0,0,0,26.59903,0,0.239975,-0.1195374,1.036987,0.4266288,-30.68527,0,0,0,1.068984,0,0,0,0,0,0,0,0,0,14.59942,0,0,0.8276665,0.0004272461,-0.868454,-0.5079803,0,0,0,1062.654,0
03/15/2017 06:22:32.0791 PM,33.91071,-84.52693,1.242742,-0.0002609985,0.09347677,0.03256873,0,0,1.8083,26.5982,0.6872435,0.1214752,2.809479,2.851196,0.03089967,-29.37753,0,0,0,1.03194,0,0,0,0,0,0.010182,0.0020364,9.422873,0,14.59942,0,0,0.8947746,-0.0006408691,-0.8710022,-0.4742889,0,0,0,1064.19,0
03/15/2017 06:22:33.0805 PM,33.91071,-84.52692,1.242742,-0.0046759,0.03923338,0.006791104,755.5,0,1.8083,26.5982,0.6872435,-0.05735779,5.310593,4.057907,0.4494124,-28.89153,29,13.63355,9,1.03194,0,0,0,0,0,0.010182,0.0020364,9.422873,65.50628,14.5887,0,0,1.386901,-0.001724243,-0.8817596,-0.4730682,0,0,0,1066.006,-0.8702264
03/15/2017 06:22:34.0884 PM,33.91071,-84.52691,1.242742,0.01364997,0.01066132,0.001703754,755.5,0,1.8083,26.5982,0.6872435,0.1919098,7.444092,5.023224,1.112192,-29.07904,29,13.63355,9,1.03194,78,0,0,0,0,0.010182,0.0020364,9.422873,65.50628,14.5887,14.47037,12.68235,1.498747,-0.03036499,-0.8721008,-0.4790344,0,0,0,1065.838,-0.8702264
03/15/2017 06:22:35.0745 PM,33.9107,-84.5269,1.864114,0.01598717,-0.003479801,0.007867058,742,0,3.011621,26.59741,0.6189735,0.07318115,9.212936,5.8069,1.459615,-29.1136,29,13.63355,9,0.928746,78,0,0,0,0,0.01669758,0.003339515,8.486814,60.07239,14.63871,14.47037,12.68235,1.923765,-0.03947449,-0.865509,-0.4878235,0,0,0,1065.643,-0.8702264
03/15/2017 06:22:36.0932 PM,33.9107,-84.52689,1.864114,0.01219444,0.003431028,-0.001058062,742,0,3.011621,26.59741,0.6189735,0.3160553,9.946335,6.961716,2.063761,-29.07595,29,13.63355,9,0.928746,78,0,0,0,0,0.01669758,0.003339515,8.486814,60.07239,14.63871,14.4668,12.68235,2.304044,-0.04647827,-0.8760376,-0.4805298,0,0,0,1066.291,-0.580151
03/15/2017 06:22:37.0891 PM,33.9107,-84.52688,2.485485,0.01083912,-0.001271248,-0.02332138,742,0,4.209137,26.5966,0.5904974,-0.2362213,7.933868,5.385925,2.532246,-27.73966,29,13.63355,9,0.889056,78,0,0,0,0,0.01258004,0.00455241,8.096375,60.07239,14.63871,14.4668,12.68235,2.326414,-0.05262756,-0.8816986,-0.4406433,0,0,0,1063.791,-0.580151
03/15/2017 06:22:38.0906 PM,33.91071,-84.52687,2.485485,-0.01792557,0.01926485,-0.02119273,780,0,4.209137,26.5966,0.5904974,-0.1261597,0.3694763,1.216949,1.953016,-25.30648,29,13.63355,9,0.889056,78,0,0,0,0,0.01258004,0.00455241,8.096375,54.51677,14.63871,14.4668,12.68235,1.74481,-0.02101135,-0.9197235,-0.4122467,0,0,0,1066.301,-0.580151
03/15/2017 06:22:39.0750 PM,33.91071,-84.52687,2.485485,-0.01903344,-0.009963329,0.02479949,780,0,4.209137,26.5966,0.5904974,0.3654175,-0.7327881,-0.2397461,1.072223,-26.92333,29,13.63355,9,0.889056,78,0,0,0,0,0.01258004,0.00455241,8.096375,54.51677,14.63871,14.52753,12.68235,0.7829277,-0.006576538,-0.8801727,-0.4732056,0,0,0,1070.125,-0.580151
03/15/2017 06:22:40.1075 PM,33.91071,-84.52686,0,-0.0311258,0.008243443,-0.02265672,780,0,4.209137,26.5966,0.5904974,-0.1273041,-1.27861,-0.05503845,-0.212643,-25.31336,29,13.63355,9,0.889056,78,0,0,0,0,-0.01093362,0.001152792,8.096375,54.51677,14.63871,14.52753,12.68235,0.3355404,0.02453613,-0.9092255,-0.4095154,0,0,0,1069.869,-0.580151
03/15/2017 06:22:41.0725 PM,33.91071,-84.52687,0,-0.03374679,0.006315951,0.004201358,780,0,0,26.59501,0.6810052,-0.05479431,4.392731,2.599609,-2.172002,-24.11723,29,13.63355,9,1.025325,78,0,0,0,0,-0.01093362,0.001152792,9.337338,54.51677,14.64228,14.52753,12.68235,1.856657,0.0597229,-0.9175873,-0.4193268,0,0,0,1071.262,-0.580151
03/15/2017 06:22:42.0932 PM,33.91069,-84.52688,0,-0.02271469,-0.01399184,0.0197107,948.5,0,0,26.59501,0.6810052,-0.8440857,10.37576,6.653229,-3.49911,-25.12417,29,13.63355,9,1.025325,78,0,0,0,0,-0.01093362,0.001152792,9.337338,51.70349,14.64228,14.52753,12.68235,4.004116,0.07810974,-0.8908234,-0.4446716,0,0,0,1072.952,-0.580151
03/15/2017 06:22:43.0793 PM,33.91068,-84.52689,4.97097,-0.00147487,0.002206034,-0.003520325,1377,0,5.007488,26.59398,0.9927073,-0.04811096,10.86145,7.078705,-4.441421,-25.23722,29,13.63355,9,1.49499,78,0,0,0,0,0.02529017,0.009610444,13.61112,51.91514,14.63514,14.76374,12.68235,6.173944,0.0796051,-0.9041138,-0.4288025,0,0,0,1072.605,-0.580151
