# FuelCalculationMethod = MassAirFlow
Time, Latitude (deg), Longitude (deg), Vehicle speed (MPH), Accel X (g), Accel Y (g), Accel Z (g), Engine RPM (RPM), Actual engine - percent torque (%), Instant fuel economy (MPG), Total fuel economy (MPG), Fuel rate (gal/hr), Rotation Rate X (deg/s), Rotation Rate Y (deg/s), Rotation Rate Z (deg/s), Roll (deg), Pitch (deg), Engine coolant temperature (C), Intake manifold absolute pressure (psi), Intake air temperature (C), Mass air flow rate (lb/min), Time since engine start (sec), Engine oil temperature (C), Engine fuel rate (gal/hr), Driver's demand engine - percent torque (%), Engine reference torque (lb•ft), Boost (psi), Acceleration (g), Acceleration (Avg) (g), Engine Power (hp), Engine Torque (lb•ft), A/F Commanded, A/F Actual, Fuel Remaining (gal), GPS Speed (MPH), Accel (Grav) X (g), Accel (Grav) Y (g), Accel (Grav) Z (g), Distance traveled while MIL is activated (miles), Total engine run time (sec), Total idle run time (sec), Altitude (ft)
02/23/2017 05:13:15.6578 PM,33.77651,-84.39172,0,-0.008175832,0.3112035,0.1297229,0,0,0,0,0,-0.252533,-1.520493,0.3725433,-1.001442,-22.22965,30,8.122113,0,0,0,0,0,0,0,-6.38166,0,0,0,0,0,0,0,0,0.01905823,-0.9194031,-0.3790436,0,0,0,906.193
02/23/2017 05:13:16.0506 PM,33.77648,-84.39187,0,-0.006313345,0.2019443,0.0880381,0,0,0,0,0,-0.006668091,-1.338837,0.3110962,-1.007584,-22.23228,30,8.122113,0,0,0,0,0,0,0,-6.38166,0,0,0,0,0,0,0,0,0.01965332,-0.9161835,-0.3813324,0,0,0,952.0518
02/23/2017 05:13:18.0777 PM,33.77655,-84.39185,0,-0.0007571677,0.02520238,0.01647157,0,0,0,0,0,0.05381775,-1.521744,0.3120575,-1.019089,-22.19351,30,8.122113,27,0,33,0,0,0,0,-6.38166,0,0,0,0,0,14.6204,7.411765,0,0.01794434,-0.9211273,-0.3833466,0,0,0,953.2437
02/23/2017 05:13:28.1116 PM,33.77655,-84.39188,0.6213712,0.03358464,-0.01388509,0.03989159,841.5,0,0.6682065,21.68291,0.9299089,-0.1754303,7.567535,5.143982,-2.252921,-20.6898,32,9.427453,27,1.399734,35,0,0,0,0,-4.641208,0.01390819,0.002781639,12.75008,79.578,14.63514,14.59897,7.411765,0.6710809,0.009963989,-0.917984,-0.3977203,0,0,0,959.288
02/23/2017 05:13:29.0831 PM,33.77653,-84.3919,1.242742,0.0075569,0.007947881,0.001864121,841.5,0,1.322661,21.6673,0.9395771,-0.4169312,7.56601,4.351349,-0.8402258,-22.09986,32,9.137378,27,1.414287,35,0,0,0,0,-4.931283,0.02522054,0.005044107,12.88265,79.578,14.63514,14.40965,7.411765,1.297423,0.01745605,-0.9327087,-0.372757,0,0,0,956.8553
02/23/2017 05:13:30.0888 PM,33.77652,-84.39193,1.864114,-0.02331474,0.01711503,-0.01931283,841,0,1.919355,21.65599,0.9712186,-0.414856,9.64093,5.804138,-0.7041919,-21.92778,32,9.282415,27,1.461915,35,0,0,0,0,-4.786245,0.02310198,0.007402034,13.31649,80.45317,14.63514,14.50609,7.411765,2.125089,0.04612732,-0.9415283,-0.3498688,0,0,0,956.754
02/23/2017 05:13:31.0950 PM,33.77653,-84.39194,2.485485,0.05033571,-0.01329436,-0.02282402,845,0,1.919355,21.65599,0.9712186,-1.114197,0.3178558,3.16597,2.582392,-19.55172,32,9.282415,27,1.461915,35,0,0,0,0,-4.786245,0.02519818,0.01008374,13.31649,82.76887,14.63157,14.49181,7.411765,1.968504,-0.06092834,-0.9237823,-0.3160553,0,0,0,956.5294
02/23/2017 05:13:32.0756 PM,33.77654,-84.39198,2.485485,0.03714784,0.009113653,-0.03692231,899.5,0,2.935784,21.64498,0.8466171,-0.7650757,-13.04495,-5.058319,4.860945,-17.81395,32,8.847302,27,1.274049,35,0,0,0,0,-5.221359,0.02519818,0.01008374,11.60806,67.7786,14.63514,14.43465,7.411765,3.064603,-0.1073151,-0.9564362,-0.2795105,0,0,0,955.0685
02/23/2017 05:13:33.0976 PM,33.77655,-84.392,4.349598,-0.0002019043,0.01246157,-0.03127833,899.5,0,2.164802,21.61507,2.009236,1.966156,-21.40453,-7.330338,5.461467,-13.82438,32,8.847302,27,3.024378,35,0,0,0,0,-5.221359,0.04511693,0.01642542,27.54886,67.7786,14.63514,14.43465,7.411765,5.323909,-0.1172333,-0.9794006,-0.2382507,0,0,0,955.1592
02/23/2017 05:13:34.0779 PM,33.77658,-84.39201,4.349598,-0.07931457,-0.003089385,0.0638381,1716,0,2.164802,21.61507,2.009236,-0.2668304,-10.73199,-4.885773,3.316106,-13.09542,32,12.18317,27,3.024378,35,0,0,0,0,-1.885491,0.04511693,0.01642542,27.54886,84.31802,14.63514,14.43465,7.411765,5.883142,-0.03561401,-0.9706726,-0.316925,0,0,0,953.5104
02/23/2017 05:13:35.0795 PM,33.77662,-84.39203,4.349598,0.002345674,-0.05395123,0.0990871,1716,0,2.164802,21.61507,2.009236,-1.965973,-2.125687,-0.3584442,1.766282,-14.77683,32,12.18317,27,3.024378,35,0,0,0,0,-1.885491,0.04511693,0.01642542,27.54886,84.31802,14.63514,14.43465,7.411765,11.07283,-0.06051636,-0.9095612,-0.372757,0,0,0,952.0385
02/23/2017 05:13:36.1104 PM,33.77668,-84.39203,11.80605,-0.0005776083,-0.008279454,0.1226032,1716,0,2.164802,21.61507,2.009236,-0.9845123,-1.703003,-0.4199524,3.137465,-22.1764,32,12.18317,27,3.024378,35,0,0,0,0,-1.885491,0.07724408,0.02553256,27.54886,84.31802,14.63514,12.84058,7.411765,12.1913,-0.06306458,-0.91185,-0.5104218,0,0,0,950.4767
02/23/2017 05:13:37.0813 PM,33.77674,-84.39204,11.80605,-0.02151858,-0.06258903,-0.02436063,1716,0,22.31277,21.61416,0.5291164,1.027252,-2.192657,1.108978,2.978671,-25.46896,32,12.18317,27,0.796446,35,0,0,0,0,-1.885491,0.07724408,0.02553256,7.254774,84.31802,14.63514,12.84058,7.411765,11.69918,-0.04432678,-0.8306122,-0.4112549,0,0,0,950.8073
02/23/2017 05:13:38.0996 PM,33.77676,-84.39205,11.80605,0.02306971,-0.007074255,0.0564997,1176.5,0,22.31277,21.61416,0.5291164,0.4844818,-2.80722,-1.387634,3.459502,-27.59734,32,5.511434,27,0.796446,35,0,0,0,0,-8.557226,0.07724408,0.02553256,7.254774,32.38665,14.63514,12.84058,7.411765,6.733178,-0.09721375,-0.8764038,-0.5289459,0,0,0,949.1939
02/23/2017 05:13:39.0884 PM,33.77678,-84.39204,5.592341,-0.007128303,-0.0003389787,0.05175935,840,0,6.797717,21.60131,0.8226793,0.05497742,-2.011124,-0.4169464,3.573853,-31.06151,32,8.267151,27,1.238328,35,0,0,0,0,-5.801509,-0.01631446,0.01316253,11.27985,70.52742,14.64228,13.73763,7.411765,4.92126,-0.06323242,-0.8631134,-0.5654144,0,0,0,947.8026
02/23/2017 05:13:40.1009 PM,33.77679,-84.39204,0,-0.02344488,0.04809582,-0.08726159,840,0,0,21.58574,0.8126144,0.1767426,-1.400375,0.3116608,3.043263,-29.18407,32,8.267151,27,1.223775,54,0,0,0,0,-5.801509,-0.1464857,-0.00376459,11.14185,70.52742,14.64228,13.61975,7.411765,1.431639,-0.02409363,-0.938858,-0.3638306,0,0,0,947.777
02/23/2017 05:13:41.1138 PM,33.77679,-84.39205,0,-0.001685544,0.01034935,-0.02667626,859.5,0,0,21.58574,0.8126144,0.05430603,-1.399948,0.3114777,1.779562,-22.74913,32,8.267151,27,1.223775,54,0,0,0,0,-5.801509,-0.0846356,-0.00376459,11.14185,68.08405,14.63871,14.21675,7.411765,1.163207,-0.03240967,-0.923645,-0.3735046,0,0,0,946.7321
02/23/2017 05:14:12.1095 PM,33.77679,-84.39204,1.242742,-0.005097155,0.008116039,-0.02493769,681,0,2.054622,21.34722,0.6048521,-0.06964111,-1.581665,0.4949951,1.345689,-22.40364,39,7.832038,27,0.910224,83,0,0,0,0,-6.236623,0.02826704,0.005653408,8.293194,63.96005,14.63871,14.89591,7.411765,1.319792,-0.01968384,-0.930191,-0.3556213,0,0,0,945.563
02/23/2017 05:14:13.0824 PM,33.77679,-84.39203,0.6213712,0.008360595,-0.01077243,0.02873975,671,0,1.052284,21.33894,0.5904974,-0.19133,-1.459625,0.4332886,1.603082,-23.45601,39,7.977076,27,0.889056,83,0,0,0,0,-6.091585,-0.01253567,0.003146275,8.096375,63.3727,14.64228,14.67756,7.411765,0.6934503,-0.03567505,-0.9071503,-0.4205322,0,0,0,947.0433
02/23/2017 05:14:14.0974 PM,33.7768,-84.39204,0,-0.006142105,0.001441848,-0.01486717,696.5,0,0,21.33101,0.6070449,-0.1898041,-1.338562,0.1889343,1.383404,-22.62628,39,7.832038,27,0.914193,83,0,0,0,0,-6.236623,-0.02467803,0.0007178028,8.32326,62.76339,14.63157,14.74543,7.411765,0.3579098,-0.01771545,-0.9226227,-0.3691864,0,0,0,946.8382
02/23/2017 05:14:15.0974 PM,33.7768,-84.39204,0,0.004786649,0.001587241,-0.007091678,696.5,0,0,21.32273,0.5907857,-0.06813049,-1.399521,0.3112946,1.234342,-22.03779,39,7.832038,27,0.889056,83,0,0,0,0,-6.236623,-0.01214236,0.0007178028,8.100329,62.76339,14.63514,14.6204,7.411765,1.319792,-0.02674866,-0.9257507,-0.3694611,0,0,0,946.7195
02/23/2017 05:14:21.1092 PM,33.7768,-84.39204,0,-0.01755908,0.0005376249,-0.003258004,707.5,0,0,21.28908,0.4947173,-0.4354095,-1.520401,0.1894379,1.065536,-20.7908,43,6.961812,27,0.744849,96,0,0,0,0,-7.106849,2.829315E-18,0.0007178028,6.783124,50.3544,14.63871,14.75659,7.411765,0.8947746,0.002426147,-0.9356384,-0.3486023,0,0,0,947.7413
02/23/2017 05:14:22.0940 PM,33.77681,-84.39204,1.242742,-0.005320536,0.01004148,-0.02376233,822.5,0,2.029082,21.27546,0.6124653,-0.1902618,-1.58252,0.06820679,0.8612621,-19.82871,43,6.961812,27,0.922131,96,0,0,0,0,-7.106849,0.01354328,0.003426458,8.39758,53.62315,14.63157,14.75659,7.411765,1.386901,-0.009048462,-0.951355,-0.3181763,0,0,0,946.2975
02/23/2017 05:14:23.0905 PM,33.77681,-84.39204,2.485485,0.04323639,0.01825975,-0.04926699,1183,0,2.21738,21.26273,1.120911,0.4075775,-7.498337,-2.096725,1.168862,-15.66964,43,8.122113,27,1.686825,96,0,0,0,0,-5.946547,0.04098025,0.003260443,15.36893,68.23276,14.63157,14.59897,7.411765,2.751432,-0.06549072,-0.9790497,-0.2436066,0,0,0,945.0623
02/23/2017 05:14:24.0956 PM,33.77682,-84.39204,5.592341,0.1056197,0.003909855,0.03115445,1183,0,3.724303,21.24428,1.50158,-1.528778,-23.28165,-7.814117,2.577104,-14.42422,43,8.267151,27,2.259684,96,0,0,0,0,-5.801509,0.0964901,0.01707107,20.58834,68.23276,14.63514,14.2489,7.411765,3.51199,-0.1907959,-0.9759674,-0.2944794,0,0,0,944.923
02/23/2017 05:14:25.1082 PM,33.77685,-84.39202,8.077826,0.1033874,-0.01024957,0.01687476,1580.5,0,4.177506,21.22464,1.933648,0.7790375,-37.56714,-16.82339,0.1319159,-13.19061,43,8.557226,27,2.9106,96,0,0,0,0,-5.511434,0.1224548,0.03025853,26.51246,68.4165,14.63514,15.13881,7.411765,7.806908,-0.3105164,-0.9600067,-0.2959137,0,0,0,944.6231
02/23/2017 05:14:26.0815 PM,33.77687,-84.39199,11.18468,-0.2028414,-0.04292801,-0.08644618,1966.5,0,4.177506,21.22464,1.933648,-1.139694,-17.00807,-7.051163,-4.102829,-12.40279,43,11.16791,27,2.9106,96,0,0,0,0,-2.900755,0.1077186,0.04355039,26.51246,70.80928,14.63514,14.88519,7.411765,8.79116,0.07646179,-0.9431763,-0.1504364,0,0,0,945.1261
02/23/2017 05:14:27.1078 PM,33.77689,-84.39194,11.18468,-0.08779061,-0.01105491,0.02457085,1755,0,3.789555,21.19283,2.95145,1.144882,-2.678253,1.78186,-5.464601,-10.22778,43,14.50377,27,4.442634,96,0,0,0,0,0.4351132,0.1077186,0.04355039,40.46766,121.1058,14.63514,14.88519,7.411765,10.5136,0.1029358,-1.001358,-0.2237854,0,0,0,945.5682
02/23/2017 05:14:28.0753 PM,33.77689,-84.39179,18.01976,-0.04124371,0.008721676,-0.02969738,1755,0,4.719593,21.12535,3.818076,1.215912,-1.463989,0.6182251,-4.590611,-11.20292,43,14.50377,27,5.747112,96,0,0,0,0,0.4351132,0.1419573,0.06107847,52.35006,121.1058,14.63514,14.57754,7.411765,16.50859,0.1005707,-1.004883,-0.1787567,0,0,0,947.6354
02/23/2017 05:14:29.0640 PM,33.77689,-84.39169,21.12662,-0.02164445,-0.04522333,0.01751871,1854.5,0,5.663696,21.09266,3.730183,-0.9219666,-0.7881012,0.1242828,-5.467885,-11.63974,43,14.64881,27,5.614812,96,0,0,0,0,0.580151,0.1613541,0.07582121,51.14495,148.2601,14.63514,14.23818,7.411765,19.57319,0.1079865,-0.9488068,-0.2284546,0,0,0,949.5372
02/23/2017 05:14:30.0725 PM,33.77687,-84.39159,24.23348,-0.003701249,-0.01700666,0.104822,2031.5,0,8.470518,21.07528,2.86092,-1.35733,-1.453552,1.101929,-5.538139,-14.87735,43,13.92362,27,4.306365,96,0,0,0,0,-0.1450377,0.1396269,0.08900385,39.22639,132.227,14.63514,15.34243,7.411765,23.19703,0.08854675,-0.9407654,-0.363205,0,0,0,948.7433
02/23/2017 05:14:31.6679 PM,33.77687,-84.39147,24.85485,-0.00463258,-0.0005500874,0.0542783,2188.5,0,19.1459,21.07208,1.298181,-0.2004852,-2.186005,1.899414,-3.852227,-21.35125,43,11.89309,27,1.954071,96,0,0,0,0,-2.175566,0.07777416,0.09137604,17.7995,94.1382,14.63514,14.39893,7.411765,23.59968,0.06988525,-0.9135895,-0.4044647,0,0,0,948.5115
02/23/2017 05:14:32.1709 PM,33.77687,-84.39135,24.85485,0.04116331,-0.04828254,0.04082727,1721.5,0,19.1459,21.07208,1.298181,-4.424988,-2.476303,1.711716,-2.117406,-22.77919,43,11.89309,27,1.954071,96,0,0,0,0,-2.175566,0.07777416,0.09137604,17.7995,54.30439,14.63514,14.39893,7.411765,23.82337,0.01264954,-0.857132,-0.4179077,0,0,0,947.9904
02/23/2017 05:14:33.1424 PM,33.77687,-84.39123,24.23348,0.04397048,-0.06663255,0.04444341,1663.5,0,28.13422,21.07761,0.8613523,-0.6818848,-1.335205,0.7366943,-2.827366,-23.83937,43,4.641208,27,1.29654,96,0,0,0,0,-9.427453,0.003020713,0.08960799,11.8101,37.28762,14.64586,14.10244,7.411765,24.02469,0.001449585,-0.8344879,-0.4436646,0,0,0,947.3064
02/23/2017 05:14:34.1609 PM,33.77686,-84.39113,22.99073,0.02431235,0.009938458,0.03371655,1663.5,0,38.04763,21.08523,0.604262,-0.8048248,-1.395493,0.7977448,-1.298029,-27.11902,43,3.770981,27,0.910224,108,0,0,0,0,-10.29768,-0.03208114,0.08225115,8.285103,37.28762,14.64586,14.02385,7.411765,22.95097,0.0001220703,-0.9013977,-0.4788055,0,0,0,945.028
02/23/2017 05:14:35.1729 PM,33.77686,-84.39104,21.12662,-0.05296635,-0.03911823,0.006832465,1482.5,0,38.04763,21.08523,0.604262,-0.6146851,0.6756744,1.214767,-1.961742,-27.70868,43,3.916019,27,0.910224,108,0,0,0,0,-10.15264,-0.05935368,0.0695412,8.285103,29.35197,14.64586,29.26269,7.411765,21.13905,0.08676147,-0.8444824,-0.4583588,0,0,0,943.4078
